,Feature,Importance
0,Sex_female,0.24135995695614745
1,Sex_male,0.14671795687194453
2,Lunch_reduced,0.10483755843249486
3,Test_Prep_completed,0.0803811646060462
4,Ethnicity_group C,0.07616858571946991
5,PLE_bachelor degree,0.0659465778628425
6,Ethnicity_group E,0.06544290079130885
7,Ethnicity_group B,0.04979454919119667
8,Ethnicity_group D,0.042793279105954145
9,PLE_associate degree,0.029588756604863372
10,Reading_Score,0.02949731153350687
11,Test_Prep_none,0.01426083547763824
12,PLE_master degree,0.014080858461614984
13,Lunch_standard,0.010195558348158188
14,PLE_some college,0.009093012433090786
15,Ethnicity_group A,0.00867151314116202
16,PLE_some high school,0.007632068053634044
17,PLE_high school,0.0035375564089263536
